book_name,book_rate,book_rate_number,book_narrator,book_time
1. The Let Them Theory,5 out of 5 stars,631 ratings,Narrated by: Mel Robbins,Length: 10 hrs and 38 mins
2. Onyx Storm,not_rated_yet,Not rated yet,Narrated by: Rebecca Soler,Length: 14 hrs and 15 mins
3. Atomic Habits,5 out of 5 stars,"139,616 ratings",Narrated by: James Clear,Length: 5 hrs and 35 mins
4. Fourth Wing,4.5 out of 5 stars,"39,198 ratings","Narrated by: Rebecca Soler, Teddy Hamilton",Length: 21 hrs and 22 mins
5. The Housemaid,4.5 out of 5 stars,"30,074 ratings",Narrated by: Lauryn Allman,Length: 9 hrs and 46 mins
6. Quicksilver,5 out of 5 stars,"10,873 ratings","Narrated by: Stella Bloom, Anthony Palmini",Length: 20 hrs and 41 mins
7. Iron Flame,4.5 out of 5 stars,"29,278 ratings","Narrated by: Rebecca Soler, Teddy Hamilton",Length: 28 hrs and 16 mins
8. James,5 out of 5 stars,"7,159 ratings",Narrated by: Dominic Hoffman,Length: 7 hrs and 49 mins
9. The Wedding People,4.5 out of 5 stars,"5,640 ratings",Narrated by: Helen Laser,Length: 11 hrs and 37 mins
10. The Women,5 out of 5 stars,"41,453 ratings","Narrated by: Julia Whelan, Kristin Hannah",Length: 14 hrs and 57 mins
11. Fourth Wing (Part 1 of 2) (Dramatized Adaptation),4.5 out of 5 stars,"1,790 ratings","Narrated by: full cast, Scott McCormick, Troy Allan, Jessica Lauren Ball, Khaya Fraites, Gabriel Michael, Torian Brackett, Taylor Coan, LaMont Ridgell, Robb Moreira, Laura C. Harris, David Cui Cui",Length: 7 hrs and 52 mins
12. The God of the Woods,4.5 out of 5 stars,"5,516 ratings",Narrated by: Saskia Maarleveld,Length: 14 hrs and 35 mins
13. The Boyfriend,4.5 out of 5 stars,"7,201 ratings","Narrated by: Victoria Connolly, Robb Moreira",Length: 9 hrs and 20 mins
14. Fourth Wing (Part 2 of 2) (Dramatized Adaptation),5 out of 5 stars,"1,291 ratings","Narrated by: full cast, Robb Moreira, Megan Poppy, James Konicek, Khaya Fraites, Gabriel Michael, LaMont Ridgell, Taylor Coan, Torian Brackett, Rob McFadyen, Laura C. Harris, Jessica Lauren Ball",Length: 9 hrs and 22 mins
15. Iron Flame (Part 1 of 2) (Dramatized Adaptation),5 out of 5 stars,832 ratings,"Narrated by: full cast, Gabriel Michael, Torian Brackett, LaMont Ridgell, Taylor Coan, Jessica Lauren Ball, Chris Davenport, Henry W. Kramer, Danny Gavigan, Robb Moreira, Khaya Fraites, Amanda Forstrom",Length: 11 hrs and 38 mins
16. The Anxious Generation,5 out of 5 stars,"3,607 ratings","Narrated by: Sean Pratt, Jonathan Haidt",Length: 10 hrs and 32 mins
17. Lights Out,5 out of 5 stars,"13,927 ratings","Narrated by: Elena Wolfe, Jacob Morgan",Length: 13 hrs and 38 mins
18. Farewell Yellow Brick Road,4.5 out of 5 stars,25 ratings,"Narrated by: Richard Armitage, Vikas Adam, Daniel Henning, Ray Porter, Jesse Einstein, Fred Berman, Edoardo Ballerini, Mark Boyett, Kevin T. Collins, Peter Ganim, Mike Cooper, John Lee, Oliver Wyman",Length: 6 hrs and 11 mins
19. The Frozen River,4.5 out of 5 stars,"7,002 ratings","Narrated by: Jane Oppenheimer, Ariel Lawhon",Length: 15 hrs and 5 mins
20. Here One Moment,4.5 out of 5 stars,"5,646 ratings","Narrated by: Caroline Lee, Geraldine Hakewill",Length: 15 hrs and 53 mins
